[2026-02-02 00:30:01] ========== CRON: Vacation Balance Update Started ==========
[2026-02-02 00:30:01] Force level: 0 (0=normal, 1=check missing, 2=full bypass)
[2026-02-02 00:30:01] Source: CLI (argv)
[2026-02-02 00:30:01] Database connection established
[2026-02-02 00:30:01] [emp_id: 5472] Created new emp_vacation_balance with starting balance 0.08
[2026-02-02 00:30:01] Created 1 new emp_vacation_balance record(s) for newly registered employees
[2026-02-02 00:30:01] Found 423 active employees with balance records to update
[2026-02-02 00:30:01] (Only employees with status=1 will be processed)
[2026-02-02 00:30:01]   [emp_id: 1061] ✓ Updated: 2 → 2.17 (VALUE CHANGED)
[2026-02-02 00:30:02]   [emp_id: 1496] ✓ Updated: 18.85 → 19.02 (VALUE CHANGED)
[2026-02-02 00:30:02]   [emp_id: 1500] ✓ Updated: 6.53 → 6.7 (VALUE CHANGED)
[2026-02-02 00:30:02]   [emp_id: 1673] ✓ Updated: 47.26 → 47.43 (VALUE CHANGED)
[2026-02-02 00:30:02]   [emp_id: 1685] ✓ Updated: 17.18 → 17.35 (VALUE CHANGED)
[2026-02-02 00:30:02]   [emp_id: 1764] ✓ Updated: 71.85 → 72.02 (VALUE CHANGED)
[2026-02-02 00:30:02]   [emp_id: 1805] ✓ Updated: 66.18 → 66.35 (VALUE CHANGED)
[2026-02-02 00:30:02]   [emp_id: 1822] ✓ Updated: 70.93 → 71.1 (VALUE CHANGED)
[2026-02-02 00:30:02]   [emp_id: 1837] ✓ Updated: 27.1 → 27.27 (VALUE CHANGED)
[2026-02-02 00:30:02]   [emp_id: 1857] ✓ Updated: 22.43 → 22.6 (VALUE CHANGED)
[2026-02-02 00:30:02]   [emp_id: 1861] ✓ Updated: 73.26 → 73.43 (VALUE CHANGED)
[2026-02-02 00:30:02]   [emp_id: 1872] ✓ Updated: 12.1 → 12.27 (VALUE CHANGED)
[2026-02-02 00:30:02]   [emp_id: 1897] ✓ Updated: 7.43 → 7.6 (VALUE CHANGED)
[2026-02-02 00:30:02]   [emp_id: 1916] ✓ Updated: 13.73 → 13.9 (VALUE CHANGED)
[2026-02-02 00:30:02]   [emp_id: 1928] ✓ Updated: 66.68 → 66.85 (VALUE CHANGED)
[2026-02-02 00:30:02]   [emp_id: 1931] ✓ Updated: 86.6 → 86.77 (VALUE CHANGED)
[2026-02-02 00:30:02]   [emp_id: 1944] ✓ Updated: 44.76 → 44.93 (VALUE CHANGED)
[2026-02-02 00:30:02]   [emp_id: 1996] ✓ Updated: 1.26 → 1.43 (VALUE CHANGED)
[2026-02-02 00:30:02]   [emp_id: 1997] ✓ Updated: 38.43 → 38.6 (VALUE CHANGED)
[2026-02-02 00:30:02]   [emp_id: 1998] ✓ Updated: 29.87 → 30.04 (VALUE CHANGED)
[2026-02-02 00:30:02]   [emp_id: 1999] ✓ Updated: 30.87 → 31.04 (VALUE CHANGED)
[2026-02-02 00:30:02]   [emp_id: 2009] ✓ Updated: 37.18 → 37.35 (VALUE CHANGED)
[2026-02-02 00:30:02]   [emp_id: 2048] ✓ Updated: 27.01 → 27.18 (VALUE CHANGED)
[2026-02-02 00:30:02]   [emp_id: 2057] ✓ Updated: 67.85 → 68.02 (VALUE CHANGED)
[2026-02-02 00:30:02]   [emp_id: 2079] ✓ Updated: 50.18 → 50.35 (VALUE CHANGED)
[2026-02-02 00:30:02]   [emp_id: 2181] ✓ Updated: 39.18 → 39.35 (VALUE CHANGED)
[2026-02-02 00:30:02]   [emp_id: 2190] ✓ Updated: 8.51 → 8.68 (VALUE CHANGED)
[2026-02-02 00:30:02]   [emp_id: 2212] ✓ Updated: 26.51 → 26.68 (VALUE CHANGED)
[2026-02-02 00:30:02]   [emp_id: 2226] ✓ Updated: 71.26 → 71.43 (VALUE CHANGED)
[2026-02-02 00:30:02]   [emp_id: 2238] ✓ Updated: 69.51 → 69.68 (VALUE CHANGED)
[2026-02-02 00:30:02]   [emp_id: 2285] ✓ Updated: 38.18 → 38.35 (VALUE CHANGED)
[2026-02-02 00:30:02]   [emp_id: 2287] ✓ Updated: 49.85 → 50.02 (VALUE CHANGED)
[2026-02-02 00:30:02]   [emp_id: 2288] ✓ Updated: 4.87 → 5.04 (VALUE CHANGED)
[2026-02-02 00:30:02]   [emp_id: 2316] ✓ Updated: 18.68 → 18.85 (VALUE CHANGED)
[2026-02-02 00:30:02]   [emp_id: 2337] ✓ Updated: 39.76 → 39.93 (VALUE CHANGED)
